,label,questions,criterion
0,外观好,Does the comment mention that the appearance is good?,Appearance is good
1,产品质量好,Does the comment mention that the product has good quality?,Product has good quality
2,性价比高/价格实惠/价格低,Does the comment mention that the product offers a high cost-to-value ratio or is affordable?,Product offers a high cost-to-value ratio or is affordable
3,产品环保,Does the comment mention that the product is environmentally friendly?,Product is environmentally friendly
4,品牌好,Does the comment mention that the brand of the product is good?,Brand of the product is good
5,推荐,Does the comment recommend the product?,Recommends the product
6,方便购买,Does the comment mention that the product is easy to purchase?,Product is easy to purchase
7,外观差,Does the comment mention that the appearance is poor?,Appearance is poor
8,产品质量差,Does the comment mention that the product has poor quality?,Product has poor quality
9,性价比低/价格高,Does the comment mention that the cost-to-value ratio is low or the price is high?,Cost-to-value ratio is low or price is high
10,不方便购买,Does the comment mention that it's inconvenient to purchase the product?,It's inconvenient to purchase the product
11,有防伪/防伪好用,Does the comment mention that the product has effective anti-counterfeiting features?,Product has effective anti-counterfeiting features
12,防伪差/难判断真伪,Does the comment mention that the anti-counterfeiting features are poor or it's difficult to determine authenticity?,Anti-counterfeiting features are poor or it's difficult to determine authenticity
13,购买渠道,Does the comment mention the purchase channel of the product?,Purchase channel of the product
14,coil/pod材质好,Does the comment mention that the material quality of coil/pod is good?,Material quality of coil or pod is good
15,liquid/oil质量好,Does the comment mention that the quality of liquid/oil is good?,Quality of liquid or oil is good
16,coil/pod材质差,Does the comment mention that the material quality of coil/pod is poor?,Material quality of coil or pod is poor
17,liquid/oil质量差,Does the comment mention that the quality of liquid/oil is poor?,Quality of liquid or oil is poor
18,liquid/oil太少或容量小,Does the comment mention that the liquid/oil capacity is too small?,Liquid or oil capacity is too small
19,coil/pod接触差,Does the comment mention poor coil/pod contact?,Poor coil or pod contact
20,电池易用,Does the comment mention that the battery is easy to use?,Battery is easy to use
21,电池续航好,Does the comment mention that the battery has good battery life?,Battery has good battery life
22,电池安全,Does the comment mention that the battery is safe?,Battery is safe
23,电池不易用,Does the comment mention that the battery is not easy to use?,Battery is not easy to use
24,电池续航差,Does the comment mention poor battery life?,Poor battery life
25,电池不安全,Does the comment mention that the battery is not safe?,Battery is not safe
26,电池质量差,Does the comment mention poor battery quality?,Poor battery quality
27,不可充电/电池无法使用,Does the comment mention that the product is not rechargeable or the battery is unusable?,Product is not rechargeable or the battery is unusable
28,预热时间长,Does the comment mention that the preheating time is long?,Preheating time is long
29,预热操作复杂,Does the comment mention that the preheating operation is complex?,Preheating operation is complex
30,不需要预热功能,Does the comment mention that the product doesn't need preheating functionality?,Product doesn't need preheating functionality
31,调温好,Does the comment mention that the temperature control is good?,Temperature control is good
32,调气道好,Does the comment mention that the airflow adjustment is good?,Airflow adjustment is good
33,调压好,Does the comment mention that the pressure adjustment is good?,Pressure adjustment is good
34,按键好用,Does the comment mention that the buttons are user-friendly?,Buttons are user-friendly
35,好操作/操作方便,Does the comment mention that the product is easy to operate?,Product is easy to operate
36,调温差,Does the comment mention poor temperature control?,Poor temperature control
37,调气道差,Does the comment mention poor airflow adjustment?,Poor airflow adjustment
38,调压差,Does the comment mention poor pressure adjustment?,Poor pressure adjustment
39,按键难用,Does the comment mention that the buttons are difficult to use?,Buttons are difficult to use
40,操作难/操作复杂,Does the comment mention that the operation is difficult or complex?,Operation is difficult or complex
41,烟雾量合适/烟雾量大,Does the comment mention that the vapor production is appropriate or high?,Vapor production is appropriate or high
42,有提示,Does the comment mention the presence of prompts?,Presence of prompts
43,不堵塞,Does the comment mention that the product doesn't clog?,Product doesn't clog
44,不漏油,Does the comment mention that the product doesn't leak oil?,Product doesn't leak oil
45,味道好,Does the comment mention that the flavor is good?,Flavor is good
46,口感好,Does the comment mention that the taste is good?,Taste is good
47,hit好,Does the comment mention that the throat hit (hit) is good?,Throat hit (hit) is good
48,high/上头,Does the comment mention getting a strong sensation (high)?,Getting a strong sensation (high)
49,烟雾量太大/烟雾量太小,Does the comment mention excessive vapor production or too little vapor?,Excessive vapor production or too little vapor
50,堵塞,Does the comment mention any clogging issues?,Clogging issues
51,漏油,Does the comment mention any leaking or oil spillage problems?,Leaking or oil spillage problems
52,liquid/oil剩余或浪费,Does the comment mention any issues related to leftover liquid or oil waste?,Issues related to leftover liquid or oil waste
53,味道差,Does the comment mention any complaints about a bad taste?,Complaints about a bad taste
54,hit差,"Does the comment mention any issues with the ""hit"" or vaping experience?","Issues with the ""hit"" or vaping experience"
55,不high/不上头,Does the comment mention that it doesn't provide the desired high or buzz?,Doesn't provide the desired high or buzz
56,抽吸方式,Does the comment discuss different inhalation methods?,Different inhalation methods
57,防水,Does the comment mention any waterproof features?,Waterproof features
58,手感好,Does the comment mention a positive hand feel or touch experience?,Positive hand feel or touch experience
59,便携,Does the comment discuss the portability of the product?,Portability of the product
60,存放/携带时堵塞,Does the comment mention clogging when storing or carrying the product?,Clogging when storing or carrying the product
61,存放/携带时漏油,Does the comment mention oil leakage during storage or transportation?,Oil leakage during storage or transportation
62,味道散/味道大,Does the comment talk about a strong or unpleasant odor?,Strong or unpleasant odor
63,存放/携带时变质,Does the comment mention product deterioration during storage or transportation?,Product deterioration during storage or transportation
64,手感差,Does the comment describe a poor hand feel or touch experience?,Poor hand feel or touch experience
65,不便携,Does the comment discuss the lack of portability?,Lack of portability
66,party/聚会,Does the comment mention using the product at parties or gatherings?,Using the product at parties or gatherings
67,游乐园,Does the comment mention using the product at an amusement park?,Using the product at an amusement park
